protocol,m,d,n,schedule,avg_wasted,max_wasted,proved_bound,max_blocked,avg_sends
grant,9,2,5000,uniform,0,0,,265,5000
grant,9,2,5000,skewed,0,0,,1280,5000
grant,9,2,5000,bursty,0,0,,698,5000
grant,9,2,5000,one_shot,24.5,30,,142,4975.5
grant,9,5,5000,single,40,40,,24,4960
grant,9,5,5000,round_robin,0,0,,153,5000
grant,9,5,5000,uniform,0,0,,271,5000
grant,9,5,5000,skewed,0,0,,1658,5000
grant,9,5,5000,bursty,0,0,,615,5000
grant,9,5,5000,one_shot,80.3,147,,110,4919.7
grant,9,10,5000,single,80,80,,20,4920
grant,9,10,5000,round_robin,0,0,,412,5000
grant,9,10,5000,uniform,0,0,,511,5000
grant,9,10,5000,skewed,0,0,,5069,5000
grant,9,10,5000,bursty,0,0,,1220,5000
grant,9,10,5000,one_shot,208.7,302,,173,4791.3
grant,9,20,5000,single,160,160,,20,4840
grant,9,20,5000,round_robin,0,0,,2226,5000
grant,9,20,5000,uniform,0,0,,1308,5000
grant,9,20,5000,skewed,0,0,,5319,5000
grant,9,20,5000,bursty,0,0,,2317,5000
grant,9,20,5000,one_shot,413.7,612,,104,4586.3
static-partition,5,1,5000,single,4000,4000,,5,1000
static-partition,5,1,5000,round_robin,0,0,,149,5000
static-partition,5,1,5000,uniform,0,0,,262,5000
static-partition,5,1,5000,skewed,0,0,,22043,5000
static-partition,5,1,5000,bursty,0,0,,519,5000
static-partition,5,1,5000,one_shot,3996,3996,,5,1004
static-partition,5,2,5000,single,4000,4000,,8,1000
static-partition,5,2,5000,round_robin,0,0,,135,5000
static-partition,5,2,5000,uniform,0,0,,315,5000
static-partition,5,2,5000,skewed,0,0,,22042,5000
static-partition,5,2,5000,bursty,0,0,,807,5000
static-partition,5,2,5000,one_shot,3996,3996,,8,1004
static-partition,5,5,5000,single,4000,4000,,8,1000
static-partition,5,5,5000,round_robin,0,0,,24,5000
static-partition,5,5,5000,uniform,0,0,,344,5000
static-partition,5,5,5000,skewed,0,0,,22042,5000
static-partition,5,5,5000,bursty,0,0,,834,5000
static-partition,5,5,5000,one_shot,3996,3996,,7,1004
static-partition,5,10,5000,single,4000,4000,,8,1000
static-partition,5,10,5000,round_robin,0,0,,8,5000
static-partition,5,10,5000,uniform,0,0,,362,5000
static-partition,5,10,5000,skewed,0,0,,22042,5000
static-partition,5,10,5000,bursty,0,0,,903,5000
static-partition,5,10,5000,one_shot,3996,3996,,8,1004
static-partition,5,20,5000,single,4000,4000,,8,1000
static-partition,5,20,5000,round_robin,0,0,,8,5000
static-partition,5,20,5000,uniform,0,0,,362,5000
static-partition,5,20,5000,skewed,0,0,,22042,5000
static-partition,5,20,5000,bursty,0,0,,1494,5000
static-partition,5,20,5000,one_shot,3996,3996,,8,1004
static-partition,9,1,5000,single,4444,4444,,5,556
static-partition,9,1,5000,round_robin,0,0,,314,5000
static-partition,9,1,5000,uniform,0,0,,701,5000
static-partition,9,1,5000,skewed,0,0,,22408,5000
static-partition,9,1,5000,bursty,0,0,,772,5000
static-partition,9,1,5000,one_shot,4436,4436,,5,564
static-partition,9,2,5000,single,4444,4444,,5,556
static-partition,9,2,5000,round_robin,0,0,,122,5000
static-partition,9,2,5000,uniform,0,0,,601,5000
static-partition,9,2,5000,skewed,0,0,,22407,5000
static-partition,9,2,5000,bursty,0,0,,1054,5000
static-partition,9,2,5000,one_shot,4436,4436,,6,564
static-partition,9,5,5000,single,4444,4444,,6,556
static-partition,9,5,5000,round_robin,0,0,,30,5000
static-partition,9,5,5000,uniform,0,0,,484,5000
static-partition,9,5,5000,skewed,0,0,,22407,5000
static-partition,9,5,5000,bursty,0,0,,1076,5000
static-partition,9,5,5000,one_shot,4436,4436,,7,564
static-partition,9,10,5000,single,4444,4444,,7,556
static-partition,9,10,5000,round_robin,0,0,,9,5000
static-partition,9,10,5000,uniform,0,0,,534,5000
static-partition,9,10,5000,skewed,0,0,,22407,5000
static-partition,9,10,5000,bursty,0,0,,1625,5000
static-partition,9,10,5000,one_shot,4436,4436,,6,564
static-partition,9,20,5000,single,4444,4444,,7,556
static-partition,9,20,5000,round_robin,0,0,,9,5000
static-partition,9,20,5000,uniform,0,0,,534,5000
static-partition,9,20,5000,skewed,0,0,,22407,5000
static-partition,9,20,5000,bursty,0,0,,2335,5000
static-partition,9,20,5000,one_shot,4436,4436,,6,564
